zipcode,popu_ratio_white,popu_ratio_black,popu_ratio_asian,mid_age,jail,bachelorplus,highschool,employ,hh_ratio_married,meanic_fam
95046,0.75,0.01,0.08,37.53,0.02,0.31,0.86,0.74,0.61,133500.33
95050,0.57,0.03,0.23,31.24,0.01,0.54,0.92,0.76,0.45,135413.29
95051,0.39,0.03,0.45,36.29,0.02,0.59,0.93,0.78,0.57,146150.5
95054,0.31,0.04,0.54,34.0,0.01,0.6,0.92,0.8,0.55,151740.33
95060,0.84,0.01,0.06,39.08,0.02,0.58,0.96,0.69,0.46,143679.17
95061,0.87,0.0,0.04,42.7,0.0,0.49,0.92,0.68,0.28,131272.0
95062,0.82,0.01,0.04,37.29,0.02,0.42,0.89,0.73,0.35,98028.62
95064,0.67,0.02,0.19,32.9,0.02,0.68,0.96,0.53,0.47,123853.0
95065,0.81,0.01,0.03,41.9,0.03,0.46,0.89,0.83,0.48,127953.0
95066,0.89,0.0,0.04,45.85,0.0,0.56,0.96,0.73,0.6,160898.5
95070,0.43,0.01,0.53,47.78,0.01,0.79,0.98,0.73,0.77,247355.8
95071,0.51,0.0,0.43,50.2,0.07,0.76,0.96,0.68,0.7,247213.0
95073,0.85,0.01,0.03,43.95,0.01,0.41,0.93,0.7,0.51,131491.0
95076,0.62,0.0,0.03,33.63,0.01,0.17,0.65,0.71,0.59,86608.69
95109,0.33,0.07,0.21,31.5,0.02,0.36,0.79,0.81,0.24,81497.0
95110,0.36,0.04,0.2,32.07,0.02,0.29,0.72,0.72,0.34,86949.38
95111,0.38,0.03,0.35,34.52,0.02,0.22,0.72,0.74,0.54,90818.67
95112,0.37,0.04,0.28,33.41,0.02,0.3,0.76,0.72,0.41,99657.0
95116,0.26,0.02,0.26,33.25,0.02,0.18,0.66,0.73,0.48,76225.0
95117,0.53,0.05,0.28,36.48,0.01,0.51,0.91,0.78,0.48,132655.83
95118,0.69,0.02,0.18,40.02,0.01,0.46,0.92,0.77,0.57,155596.0
95119,0.64,0.04,0.17,36.9,0.02,0.38,0.93,0.76,0.61,132782.5
